,profit,bid_count,ask_count
dmi--sma,341190,33,32
mom--mom,225541,58,57
dmi--mom,194180,47,46
dmi--dmi,157527,58,57
dmi--rsi,139737,34,33
ema--mom,133243,14,14
mom--dmi,129530,42,41
dmi--macd,32647,32,32
sma--dmi,-18987,35,34
ema--dmi,-23981,13,13
bb3--bb3,-37460,7,7
mom--bb3,-39728,12,11
mom--rsi,-59471,36,35
dmi--ema,-60414,12,11
ema--rsi,-60977,14,14
ema--sma,-79052,14,14
sma--bb3,-85819,13,12
macd--bb3,-118350,13,12
macd--sma,-144293,34,33
ema--macd,-158354,14,14
dmi--bb3,-159001,13,12
ema--bb3,-179109,9,9
macd--ema,-181849,14,13
mom--ema,-191326,12,11
sma--ema,-217327,13,12
rsi--dmi,-237553,36,35
bb3--macd,-238748,10,10
mom--sma,-277329,35,34
bb3--mom,-279191,10,10
sma--rsi,-283277,33,32
sma--macd,-290243,34,34
bb2--bb3,-294123,10,9
bb3--sma,-295617,10,10
sma--sma,-296781,37,36
rsi--bb3,-298693,11,10
bb3--dmi,-302512,10,10
rsi--ema,-304106,14,13
mom--macd,-316384,45,44
bb3--ema,-329741,7,6
macd--mom,-339323,41,40
macd--dmi,-356194,36,35
bb3--rsi,-363009,9,9
macd--rsi,-372701,34,33
rsi--macd,-379978,35,35
macd--macd,-381697,47,47
sma--mom,-387427,36,35
rsi--sma,-398585,31,30
bb2--macd,-413771,27,27
mom--bb2,-416914,26,25
ema--ema,-418379,14,13
rsi--mom,-445522,43,42
rsi--rsi,-462311,28,27
bb2--sma,-482016,23,22
bb3--bb2,-486606,7,7
dmi--bb2,-491616,26,25
sma--bb2,-497586,26,25
bb2--rsi,-502735,21,20
macd--bb2,-541626,28,27
bb2--mom,-563731,23,22
ema--bb2,-579267,13,13
bb2--ema,-582209,11,10
bb2--dmi,-631791,24,23
rsi--bb2,-632409,22,21
bb2--bb2,-679520,16,15
